name,description,frontend,backend,database,technologies,keywords
"Miss Shannon Runolfsdottir","Sint est itaque consequatur velit et dolor eaque. Expedita facilis ipsa odit. Cumque minus repudiandae ut iure eum est ad harum.",HTML,"ASP.NET Core",CouchDB,"Docker, Slack, PHP, Bitbucket, TeamCity, Google Cloud, Vue.js, React","Spark, Bite-sized, Rot, Obey, Page, Scarp, Average, Glue, Sass, Weep, Magical, Sneeze, Seize, Wary, Sordid, Scab, Extra-large, Unequaled, Descriptive, Contain, Reward, Awake, Place, Expand, News, Copy, Whip, Orange, Damaging, Truck, Rainstorm, Treasure, Lovely, Bun, Brain, Puny, Seem, Deny, Ready, Flimsy, Remake, Impede, Weep, Sloppy, Chairs, Look, Yard, Wise, Fiction, Design, Motivate, Acquire, Illumine, Excellent, Pen, Pail, Square, Grandmother, Clever, Nappy, Engrave, Defective, Scorch, Giants, Knowledge, Fire, Beetle, Jolly, Field, Doctor, Cheerful, Motion, Finish, Tongue, Hospitable"
"Rosalia Jaskolski V","Amet maxime provident quas ratione aut. Enim omnis quidem iusto eius.",React,Node.js,SQLite,"Google Drive, Symfony, Mouseflow, Django, CouchDB, Couchbase, Django, Vue.js, Bamboo, Elasticsearch, Microsoft Teams","Train, Windy, Consult, Damage, Scrawny, Key, Story, Marvelous, Erect, Able, Enjoy, Hard, Skinny, Wrong, Pleasure, Ahead, Fat, Bells, Real, Yoke, Renounce, Wave, Skinny, Carpenter, Committee, Challenge, Arch, Print, Periodic, Beg, Preserve, Wacky, Slide, Aftermath, Fry, Imminent, Ancient, Rude, Join, Truculent, Scatter, Paste, Yam, Astonishing, Chubby, Earthquake, Jelly, Humor, Comfort, Milky, Spray, Cushion, Rebuild, Glow, Able, Squalid, Refer, Sever, Count, Immure, Flashy"
"Kaycee Gislason","Maiores autem sequi molestiae beatae libero architecto eos. Sed et distinctio qui minus molestias consectetur distinctio. Sit ut id libero sit odio est.",HTML,"Ruby on Rails",SQLite,"Laravel, Angular, RethinkDB, Microsoft PowerPoint, Zoom, Crazy Egg, Vue.js, Flask, Bitbucket, Crazy Egg, Cassandra, Netlify, GitLab, Git, Spring","Spiteful, Provide, Tearful, Swanky, Testy, Hearing, Shrill, Wretched, Structure, Rotten, Argument, Drawer, Advise, Highfalutin, Soggy, Sneaky, Zipper, Fill, Victorious, Lift, Assorted, Express, Calculate, Savor, Curly, Grade, Scientific, Paper, Axiomatic, Observation, Retch, Leaf, Taste, Engine, Sever, Reading, Curious, Enjoy, Pet, Rigid, Detail, Elated, Gamy, Ugly, Discreet, Wary, Abortive, Sheep, Put, Conscious, Eyes, Apparatus, Discuss"
"Mr. Colby Weber","Et blanditiis in ex voluptatum. Sunt non dolore quia vitae placeat velit aliquam. Asperiores minima repellendus animi. Omnis cupiditate rerum sed ab omnis nulla.",React,Spring,Elasticsearch,"Flask, ASP.NET, Oracle, MongoDB, Jira, Microsoft Teams, Ruby on Rails, ASP.NET Core, Trello, HTML, DigitalOcean, Git, Google Search Console, Kubernetes, Vercel, Notion, Docker, Oracle","Smoggy, Vigorous, Humdrum, Airplane, Line, Evanescent, Send, Melted, Foamy, Adjustment, Abandoned, Feast, Annoyed, Street, Longing, March, Lay, Conclude, Badge, Milky, Wine, Silver, Right, Truck, Polite, Dash, Ready, Tacit, Shivering, Rate, Company, Acquire, Convey"
"Hallie Spinka","Provident reiciendis perferendis nihil modi. Assumenda repellat ab asperiores sequi. Doloribus veritatis iure dicta dolores.",Vue.js,"Ruby on Rails",CouchDB,"Google Sheets, Google Slides, MySQL, Microsoft Word, MariaDB, Cassandra, Slack, Mouseflow, Bamboo","Steal, Steam, Servant, Godly, Sidewalk, Ring, Crime, Stomach, Money, Eight, Peep, Cute, Zany, Breakable, Rabid, Bleed, Kick, Park, Sulky, Ill, Crackle, Infest, Stop, Nation, Summer, Garrulous, Can, Fat, Ad hoc, Boiling, Educated, Shiny, Entertaining, Yam, Guess, Roar, Peace, Solicit, Abrupt, Bite-sized, Swing, Differ, Speak, Crooked, Damage, Gruesome, Caress, Noxious, Blur, Evanescent, Create, Detail, Please, Recognize, Prove, Snail, Assort"
"Jettie Windler","Praesentium facilis at dolor maiores. Quidem quidem ut beatae recusandae aut omnis. Et beatae alias aut ad culpa enim. Suscipit aut aut quas molestias ratione earum impedit.",Angular,"ASP.NET Core",Couchbase,"Google Sheets, Oracle, Vercel, ASP.NET Core, Jenkins, Hotjar, Travis CI, React, Google Search Console, Laravel, Inspectlet, Google Docs, Bitbucket","Dedicate, Skinny, Thin, Shock, Print, Advise, New, Ultra, Steadfast, Educated, Impartial, Hearing, Enlighten, Classify, Badge, Jealous, Absorb, Second, Value, Late, Adaptable, Beautify, Mitten, Hospitable, Buzz, Thunder, Neck, Expect, Shiver, Input, Hinder, Dazzling, Humdrum, Two, Decision, Brash, Gamy, Judicious, Hose, Class, Beg, Organize, Alleged, Broadcast, Trucks, Short, Stoop, White, Rebel, Become, Body, Well-off, Worm, Seize, Dance, Horrify, Tangy, Separate, Adorable, Polish, Cow, Undesirable, Bad, Old-fashioned, Orde, Store, Detect, Kick, Quarter, Lade, Change, Unadvised"
"Regan Robel","Illo atque doloribus atque aliquam facere voluptatum. Eaque magnam sint illum sequi sit sit. Praesentium quod consequuntur qui. Facilis natus voluptatem et minus quis maiores eligendi.",Angular,Express.js,CouchDB,"Kubernetes, Google Search Console, ASP.NET, VWO, Jira, Jira, Google Sheets, Google Cloud, Vercel, iCloud, Express.js, Redis, Amplitude, Angular, Jira, Codeship, Angular, Discord, Express.js, Jira","Save, Few, Ugliest, Bright, Thoughtful, Disgusted, Robin, Lackadaisical, Roasted, Sheet, Suggest, Glass, Productive, Hurried, Spoon, Brawny, Glitter, Waste, Wary, Melt, Garrulous, Abortive, Meeting, Idealize, Merge, Breakable, Wheel, Play, Humorous, Obtain, Sudden, Illustrate, Stingy, Transfer, Deer, Steam, Ornament, Bucket, Drab, Macho, Indulge, Women, Smoggy, Trucks, Corn, Bite, Suffer, Verse, Rebuild, Dress, Shirk, Skinny, Describe, Lamp, Cool, Productive, Air, Jaded, Dig, Energetic, Convers, Quilt, Kite, Phobic, Ripe, Colossal, Kindly, Insure, Balloon, Merge, Disgusting, Digest, Behold, Obtain"
"Thalia Anderson","Ut quis id et. Laborum qui odio voluptatum mollitia laudantium dolore aut. Sit consequatur voluptatem est animi quasi qui.",Vue.js,Express.js,SQLite,"CircleCI, Jira, CouchDB, Trello, iCloud, Elasticsearch, Bitbucket, GitLab, GitHub, Azure, Redis, TeamCity, Zoom, Google Search Console","Baseball, Bubble, Lumpy, Corn, Unhealthy, Harsh, Zesty, Productive, Standing, Mice, Fiction, Saponify, Pardon, Sight, Torpid, Rude, Voyage, Swear, Oven, Bustling, Physical, Rotten, Aberrant, Question, Smash, Handsomely, Spoon, Exciting, Recur, Brothers, Illustrate, Wonderful, Camera, Dress, Domineering, Library, Possessive, Horrify, Spiffy, Door, Overtake, Obnoxious, Shoes, Well-groomed, Fierce, Cobweb, Zany"
"Frida Herzog DVM","Possimus eum non sint. Repellendus quaerat in quo ut illum aut. In qui molestiae consequatur sit similique voluptatum. Dolore amet dolor accusamus aut. Autem sit dolor autem aut sit.",Vue.js,Flask,MariaDB,"Angular, DynamoDB, React, Google Search Console, GitLab","Identify, String, Panoramic, Cut, Lettuce, Faint, Male, Same, Nappy, Writer, Cuddly, Concerned, Motionless, Needy, Inexpensive, Spit, Undo, Beginner, Set, Tasteful, Unbiased, Cap, Sink, Well-groomed, Vomit, Partner, Shun, Deprive, Calm, Uppity, Erect, Glitter, Chair, Queen, Cultured, Icicle, Building, Detect, Development, Father, Imprison, Pen, Reduce, Crayon, Toad, Knot, Shun, Writer, Report, Fish, Kneel, Crow, Wasteful, Edge, Crush, Shoes, Contain, Pretend, Bat, Correct, Neat, Kindly, Zebra, Kneel, Good, Rings, Distribute, Itchy, Rude, Fixed, Bat, Trains, Partake, Truck, Crate, Spot, Cross, Instrument, Credit, Spiteful, Subsequent, Queen"
"Michele Abernathy","Cumque ea neque voluptatibus nisi mollitia. Et ducimus veritatis omnis et. In iusto quia in sint ipsum et voluptatem.",HTML,Express.js,CouchDB,"Docker, Mixpanel, Oracle, Git, FullStory, Discord, Redis, PHP, Hotjar, DynamoDB, Codeship, Mouseflow, Memcached, Google Slides, Couchbase, Flask","Mistake, Berry, Plough, Follow, Ethereal, Envy, Dinner, Lay, Lazy, Dysfunctional, Dependent, Colossal, Point, Library, Doctor, Seashore, Juicy, Dry, Smiling, Lumpy, Vacuous, Heartbreaking, Elated, Adjustment, Physical, Organization, Gag, Mint, Rigid, Caring, Aware, Lick, Design, Goose, Bead, Grain, Meat, Snotty, Rainstorm, Star, Shelf, Direct, Robin, Deeply, Position, Celebrate, Outstanding, Direful, Deadpan, Encircle, Mountainous, Advise, Run, Quiver, Succinct, Far-flung, Inquisitive, Feet, Messy, Yield, Liquid, Tall, Obedient, Seashore, Savvy, Collar, Cast, Downtown, Laughable, Attack, Mitten, Inflame, Exchange, Valuable, Cannon, Restrain, Inflate, Unaccountable, Toothpaste, Groovy, Decision"
"Yoshiko Spencer","Perferendis temporibus nam voluptatem sunt illum et placeat cumque. Aut iste vel mollitia asperiores dicta praesentium. Aut et repellat doloribus ut quibusdam voluptatem quibusdam.",HTML,Django,PostgreSQL,"Google Drive, Trello, GitHub, Kubernetes, Inspectlet, VWO, Notion, ASP.NET Core, iCloud, MariaDB, Travis CI, Asana, Django, Redis, MySQL, Asana, Bamboo","Glossy, Glance, Lovely, Boats, Page, Keen, Cream, Obsequious, Praise, Scorch, War, Discuss, Gruesome, Aunt, Kitty, Ducks, Channel, Lock, Division, Smother, Detach, Trucks, Kneel, Fierce, Useless, Magenta, Government, Property, Regard, Unbiased, Seed, Cart, Fruit, Basin, Hang, Crate, Google, Meeting, Preserve, Hurried, Let, Foregoing, Innate, Trade, Match, Heave, Strive, Abject, Jaded"
"Miss Kianna Jones PhD","Tempore exercitationem aut dolor ex corporis rem. Dicta dolorem tempora perferendis vero repudiandae. Minus molestias in et doloremque velit id.",Angular,Express.js,Neo4j,"Hotjar, Azure, PostgreSQL, Mouseflow, Microsoft PowerPoint, Asana, Google Sheets, Netlify, GitLab, ASP.NET, Jenkins, PHP, CircleCI, Vue.js, TeamCity, VWO","Snatch, Known, Nation, Tame, Ghost, Rake, Knot, Injure, Luxuriant, Repeat, Writer, Tramp, Thankful, Acceptable, Awful, Dust, Injure, Upbeat, Color, Ill-informed, Worm, Drag, Bring, Crowd, Prickly, Treasure, Bouncy, Pass, Nebulous, Dead, Nebulous, Impeach, Right, Meeting, Refer, Test, Truthful, Snap, Club, Flaky, Spark, Day, Chip, Goose, Swear, Sight, Bend, Part, Handy, Rotten, Flaky, News, Ache, Cynical, Cold, Acquire, Edge, Choose, Old-fashioned, Erect, Sordid, Dependent, Obsolete, Absurd, Damaging, Unnatural, Scary, Process, Rare, Grind, Vegetable, Grandmother, Therapeutic, Pay, Fanatical, Park, Fuzzy"
"Simeon Homenick","Aut amet doloremque qui ut quia. Quasi quo omnis unde sint. Minus aliquid odio ut saepe rerum.",Vue.js,"ASP.NET Core",Memcached,"Redis, Bamboo, ASP.NET Core, Dropbox, Kubernetes","Camera, Maddening, Cut, Seize, Trains, Gaze, Saw, Ornament, Untidy, Feeling, Move, Sheet, Sneeze, Crackle, Reaction, Stare, Implode, Few, Cycle, Impart, Hatch, Hot, Pail, Quiver, Reflect, Bottle, Development, Board, Book, Fertile, Worry, Pout, Breakable, Conquer, Ant, Deny, Mash"
"Mrs. Chelsie Williamson Jr.","Et enim aliquid aperiam molestiae iure. Voluptatem veritatis omnis neque eveniet aperiam dignissimos ipsa. Sint quia molestias corporis dolorem atque neque.",HTML,"Ruby on Rails",DynamoDB,"Optimizely, Spring, Confluence, ASP.NET Core, Vercel, VWO, Memcached, DynamoDB, Kubernetes, Angular, Couchbase, Trello, Express.js, Confluence","Digestion, Erratic, Road, Troubled, Ducks, Oil, Unwritten, Stray, Earn, Impartial, Help, Dispose, Draw, Value, Voyage, Stay, Grouchy, Sticky, Trains, Try, Lock, Base, Terrible, Smoke, Contain, Strew, Advertisement, Race, Dad, Languid, Offset, Handsome, Horrify, Inspire, Price, Discuss, Shut, Write, Trite, Easy, Zesty, Owe, Inquisitive, Note, Certain, Division, Wholesale, Transfer, Declare, Corrod, Uttermost, Trade, Copy, Yummy, Zippy, Classy, Attractive, Dim, Vagabond, Early, Structure, Discussion, Silly, Cannon, Identify, Longing, Functional, Cellar, Zoom, Unhealthy, Racial, Garden"
"Dr. Aniyah Torp Sr.","Aut laborum eaque non iure sapiente sapiente qui. Quaerat et porro amet voluptas molestiae quia aut. Officia perspiciatis reprehenderit optio est nisi nostrum reiciendis.",Vue.js,"Ruby on Rails",MySQL,"Kubernetes, CircleCI, Skype, Microsoft Word, Mixpanel, Mixpanel, Microsoft Word, Hotjar, Google Meet, Mixpanel, Trello, Microsoft Word","Brush, Salty, Macho, Shout, Animated, Cute, Direct, Come, Sky, Abrupt, Club, Plough, Hook, Please, Delete, Bubble, Damaged, Useful, Uptight, Itchy, Stomach, Dash, Hide, Regret, Express, Care, Statement, Cough, Furry, Rotten, Reading, Wave, Murmur, Throat, Submit, Make, Grieving, Umbrella, Detail, Merciful, Do, Productive, Educated, Willing, Exciting, Cushion, Bucket, Mountainous, Argue, Kittens, Digestion, Cry, Drawer, Implore, Aware, Satisfying, Cloistered, Exclusive, Lawyer, Sneeze, Soothe, Ponder, Sedate, Unkempt"
"Haskell Von","Culpa non doloribus doloribus hic quia voluptas. Deserunt perferendis est quisquam hic.",Angular,Symfony,Couchbase,"Kubernetes, React, Mixpanel, Google Analytics, Discord, Inspectlet, Optimizely, Segment","Believe, Lucky, Orde, Even, Momentous, Dive, Consult, Remarkable, Take, Jolly, Challenge, Spray, Even, Ring, Box, Jelly, Best, Tangible, Grip, Head, Unadvised, Cannon, Indicate, Ready, Pleasant, Develop, Resonant, Implode, Tacky, Allow"
"Virgie Roberts","Sit dolor non vel a. Et delectus libero ducimus quo a odio. Numquam quia asperiores vel iste.",React,ASP.NET,DynamoDB,"ASP.NET, Cassandra, ASP.NET, CouchDB, Microsoft Teams, Slack, Firebase, Git, Google Cloud, Flask, Bamboo, Microsoft Word, GitLab, ASP.NET, Trello, MongoDB, CircleCI, HTML, Hotjar, Microsoft PowerPoint","Bag, Ghost, Rebuild, Blue, Truculent, Cannon, Massive, Endurable, Strike, White, Servant, Feeling, Hook, Average, Zesty, Key, Satisfying, Lick, Equal, Type, Refer, Attractive, Fizz, Pray, Ponder, Observation, Unbiased, Donkey, Diminish, Matter, Animal, Numberless, Cuddly, Reset, Wed, Pen, Aware, Buzz, Monkey, Chairs, Inlay, Crow, Rice, Righteous, Gratis, Imbibe, Salute, Tire, Macabre, Excellent, Sort, Sea, Rural, Clear, Remarkable, Airport, Careful, View, Chin, Fat, Exotic, Coil, Insure, Dapper, Crooked, Idealize, Wretched, Succeed, Fish, Arm, Equal"
"Jerome D'Amore","Nobis omnis architecto sit neque ea. Consectetur quibusdam repudiandae enim assumenda eum. Suscipit facere neque eaque odio ab voluptate quod. Quia mollitia aut et expedita.",HTML,Node.js,Couchbase,"FullStory, Git, Codeship, Confluence, Flask, Express.js, Microsoft Excel, TeamCity, Mouseflow, Angular, Microsoft Word, Zoom, Slack, Asana, Confluence, MongoDB, Bamboo","Obedient, Spring, Heartbreaking, Brain, Marry, Metal, Meeting, Puny, Animal, Rice, Hurry, Cut, Coil, Quack, Determined, Hapless, Scant, Make, Rod, Glitter, Shiny, Mom, Porter, Draw, Toothbrush, Hook, Marry, Sudden, Imperil, Alcoholic, Steal, Domineering, Warn, Push, Physical, Trampl, Humor, Attention, Maid, Injure, Scale, Accompany, Truck, Join, Bent, Class, Dazzling, Dress, Habitual, Survey, Strew, Demonic, Occupy, Rod, Zippy, Bath"
